case_id,cse_id,opened_at,closed_at,investigation_text,investigator_id,escalated,resolution,alert_ids
CAS-CSE-11-0044,CSE-11,2024-11-06 12:49:23.367045,2024-11-06 12:54:54.434307,Valid investigation for ALT-CSE-11-00171. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00171""]"
CAS-CSE-11-0045,CSE-11,2024-11-02 08:20:23.989101,2024-11-02 08:43:47.919050,Valid investigation for ALT-CSE-11-00174. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00174""]"
CAS-CSE-11-0046,CSE-11,2024-12-19 22:43:31.552205,2024-12-19 23:35:23.664747,Valid investigation for ALT-CSE-11-00175. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00175""]"
CAS-CSE-11-0047,CSE-11,2024-11-01 04:46:06.419568,2024-11-01 05:07:32.469815,Valid investigation for ALT-CSE-11-00176. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00176""]"
CAS-CSE-11-0048,CSE-11,2024-11-08 12:31:39.550209,2024-11-08 13:08:47.448348,Valid investigation for ALT-CSE-11-00177. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00177""]"
CAS-CSE-11-0049,CSE-11,2024-11-04 23:53:24.255484,2024-11-05 00:31:50.402407,Valid investigation for ALT-CSE-11-00180. Checked systems.,ANA-01,True,Resolved,"[""ALT-CSE-11-00180""]"
CAS-CSE-11-0050,CSE-11,2024-11-22 09:27:50.733512,2024-11-22 10:17:45.297382,Valid investigation for ALT-CSE-11-00182. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00182""]"
CAS-CSE-11-0051,CSE-11,2024-10-14 12:41:09.251826,2024-10-14 12:32:34.700119,Valid investigation for ALT-CSE-11-00183. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00183""]"
CAS-CSE-11-0052,CSE-11,2024-11-10 04:50:44.222021,2024-11-10 06:17:13.392803,Valid investigation for ALT-CSE-11-00184. Checked systems.,ANA-03,True,Resolved,"[""ALT-CSE-11-00184""]"
CAS-CSE-11-0053,CSE-11,2024-11-18 11:37:50.469401,2024-11-18 12:23:04.259562,Valid investigation for ALT-CSE-11-00188. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00188""]"
CAS-CSE-11-0054,CSE-11,2024-12-16 01:40:51.256897,2024-12-16 02:45:08.556154,Valid investigation for ALT-CSE-11-00189. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00189""]"
CAS-CSE-11-0055,CSE-11,2024-10-06 10:25:41.031954,2024-10-06 10:58:17.111694,Valid investigation for ALT-CSE-11-00190. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00190""]"
CAS-CSE-11-0056,CSE-11,2024-11-15 18:02:56.282195,2024-11-15 18:29:56.766759,Valid investigation for ALT-CSE-11-00192. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00192""]"
CAS-CSE-11-0057,CSE-11,2024-12-13 19:46:16.869397,2024-12-13 20:31:43.352276,Valid investigation for ALT-CSE-11-00206. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00206""]"
CAS-CSE-11-0058,CSE-11,2024-12-23 05:17:40.061144,2024-12-23 06:08:10.642922,Valid investigation for ALT-CSE-11-00207. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00207""]"
CAS-CSE-11-0059,CSE-11,2024-12-23 04:59:16.141823,2024-12-23 05:39:35.243053,Valid investigation for ALT-CSE-11-00211. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00211""]"
CAS-CSE-11-0060,CSE-11,2024-10-12 16:26:30.091780,2024-10-12 16:36:09.614535,Valid investigation for ALT-CSE-11-00213. Checked systems.,ANA-03,True,Resolved,"[""ALT-CSE-11-00213""]"
CAS-CSE-11-0061,CSE-11,2024-11-06 17:14:54.286157,2024-11-06 17:25:34.083889,Valid investigation for ALT-CSE-11-00216. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00216""]"
CAS-CSE-11-0062,CSE-11,2024-12-15 03:44:22.662235,2024-12-15 04:47:45.011334,Valid investigation for ALT-CSE-11-00217. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00217""]"
CAS-CSE-11-0063,CSE-11,2024-10-25 22:24:03.043636,2024-10-25 22:56:40.643796,Valid investigation for ALT-CSE-11-00222. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00222""]"
CAS-CSE-11-0064,CSE-11,2024-10-24 18:39:47.261627,2024-10-24 18:46:06.780551,Valid investigation for ALT-CSE-11-00229. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00229""]"
CAS-CSE-11-0065,CSE-11,2024-11-12 15:24:07.181775,2024-11-12 15:55:48.769775,Valid investigation for ALT-CSE-11-00233. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00233""]"
CAS-CSE-11-0066,CSE-11,2024-12-20 03:42:48.469869,2024-12-20 04:24:01.203005,Valid investigation for ALT-CSE-11-00235. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00235""]"
CAS-CSE-11-0067,CSE-11,2024-12-06 11:29:41.577612,2024-12-06 12:33:51.920019,Valid investigation for ALT-CSE-11-00237. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00237""]"
CAS-CSE-11-0068,CSE-11,2024-10-29 19:29:14.944225,2024-10-29 19:33:33.022670,Valid investigation for ALT-CSE-11-00239. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00239""]"
CAS-CSE-11-0069,CSE-11,2024-11-10 23:17:08.086138,2024-11-11 00:02:39.003763,Valid investigation for ALT-CSE-11-00241. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00241""]"
CAS-CSE-11-0070,CSE-11,2024-12-26 22:24:11.797462,2024-12-26 22:58:49.147106,Valid investigation for ALT-CSE-11-00243. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00243""]"
CAS-CSE-11-0071,CSE-11,2024-11-23 06:13:07.748761,2024-11-23 06:45:14.544789,Valid investigation for ALT-CSE-11-00244. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00244""]"
CAS-CSE-11-0072,CSE-11,2024-11-09 18:55:10.317346,2024-11-09 19:37:31.864649,Valid investigation for ALT-CSE-11-00247. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00247""]"
CAS-CSE-11-0073,CSE-11,2024-12-09 12:51:58.971923,2024-12-09 13:06:29.830149,Valid investigation for ALT-CSE-11-00251. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00251""]"
CAS-CSE-11-0074,CSE-11,2024-12-27 23:24:02.623271,2024-12-28 00:23:36.608437,Valid investigation for ALT-CSE-11-00256. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00256""]"
CAS-CSE-11-0075,CSE-11,2024-11-08 21:50:18.369407,2024-11-08 22:28:32.674645,Valid investigation for ALT-CSE-11-00258. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00258""]"
CAS-CSE-11-0076,CSE-11,2024-11-08 23:05:16.239534,2024-11-09 00:10:33.655622,Valid investigation for ALT-CSE-11-00262. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00262""]"
CAS-CSE-11-0077,CSE-11,2024-12-09 21:16:20.989297,2024-12-09 21:30:48.788448,Valid investigation for ALT-CSE-11-00265. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00265""]"
CAS-CSE-11-0078,CSE-11,2024-11-07 17:33:36.447419,2024-11-07 17:47:23.728534,Valid investigation for ALT-CSE-11-00274. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00274""]"
CAS-CSE-11-0079,CSE-11,2024-12-15 06:14:57.441521,2024-12-15 07:27:26.686380,Valid investigation for ALT-CSE-11-00277. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00277""]"
CAS-CSE-11-0080,CSE-11,2024-12-17 02:05:37.363864,2024-12-17 02:35:11.661522,Valid investigation for ALT-CSE-11-00278. Checked systems.,ANA-01,True,Resolved,"[""ALT-CSE-11-00278""]"
CAS-CSE-11-0081,CSE-11,2024-10-06 12:44:11.706525,2024-10-06 14:08:06.047666,Valid investigation for ALT-CSE-11-00280. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00280""]"
CAS-CSE-11-0082,CSE-11,2024-10-13 13:32:31.892205,2024-10-13 13:49:31.991951,Valid investigation for ALT-CSE-11-00285. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00285""]"
CAS-CSE-11-0083,CSE-11,2024-10-01 06:39:34.622790,2024-10-01 07:48:59.794457,Valid investigation for ALT-CSE-11-00286. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00286""]"
CAS-CSE-11-0084,CSE-11,2024-11-01 19:10:36.791451,2024-11-01 21:00:01.017501,Valid investigation for ALT-CSE-11-00289. Checked systems.,ANA-01,True,Resolved,"[""ALT-CSE-11-00289""]"
CAS-CSE-11-0085,CSE-11,2024-11-02 10:30:58.158739,2024-11-02 10:50:49.238414,Valid investigation for ALT-CSE-11-00293. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00293""]"
CAS-CSE-11-0086,CSE-11,2024-12-09 09:00:56.565858,2024-12-09 09:52:00.258685,Valid investigation for ALT-CSE-11-00296. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00296""]"
CAS-CSE-11-0087,CSE-11,2024-12-03 00:22:19.234969,2024-12-03 00:53:20.553050,Valid investigation for ALT-CSE-11-00298. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00298""]"
CAS-CSE-11-0088,CSE-11,2024-12-29 21:36:33.965730,2024-12-29 22:20:34.651531,Valid investigation for ALT-CSE-11-00300. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00300""]"
CAS-CSE-11-0089,CSE-11,2024-11-16 22:51:22.125434,2024-11-16 23:16:15.154397,Valid investigation for ALT-CSE-11-00304. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00304""]"
CAS-CSE-11-0090,CSE-11,2024-10-30 08:43:29.182608,2024-10-30 09:41:05.569148,Valid investigation for ALT-CSE-11-00306. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00306""]"
CAS-CSE-11-0091,CSE-11,2024-10-13 07:02:50.327054,2024-10-13 07:50:03.961396,Valid investigation for ALT-CSE-11-00309. Checked systems.,ANA-03,True,Resolved,"[""ALT-CSE-11-00309""]"
CAS-CSE-11-0092,CSE-11,2024-10-16 15:31:35.275158,2024-10-16 16:39:30.556158,Valid investigation for ALT-CSE-11-00311. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00311""]"
CAS-CSE-11-0093,CSE-11,2024-12-15 00:24:33.401693,2024-12-15 00:42:26.360833,Valid investigation for ALT-CSE-11-00315. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00315""]"
CAS-CSE-11-0094,CSE-11,2024-10-19 02:26:24.676844,2024-10-19 03:03:47.429180,Valid investigation for ALT-CSE-11-00316. Checked systems.,ANA-01,True,Resolved,"[""ALT-CSE-11-00316""]"
CAS-CSE-11-0095,CSE-11,2024-11-14 13:29:01.065569,2024-11-14 13:43:12.146046,Valid investigation for ALT-CSE-11-00323. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00323""]"
CAS-CSE-11-0096,CSE-11,2024-12-15 20:20:05.851082,2024-12-15 21:20:57.398085,Valid investigation for ALT-CSE-11-00334. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00334""]"
CAS-CSE-11-0097,CSE-11,2024-10-15 01:31:24.951720,2024-10-15 01:58:52.169699,Valid investigation for ALT-CSE-11-00335. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00335""]"
CAS-CSE-11-0098,CSE-11,2024-12-17 06:26:27.448545,2024-12-17 07:36:16.937014,Valid investigation for ALT-CSE-11-00336. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00336""]"
CAS-CSE-11-0099,CSE-11,2024-11-17 02:48:42.410329,2024-11-17 03:16:35.252551,Valid investigation for ALT-CSE-11-00337. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00337""]"
CAS-CSE-11-0100,CSE-11,2024-10-17 00:35:54.891037,2024-10-17 00:51:59.608328,Valid investigation for ALT-CSE-11-00345. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00345""]"
CAS-CSE-11-0101,CSE-11,2024-12-04 23:32:37.398167,2024-12-05 00:24:49.240423,Valid investigation for ALT-CSE-11-00351. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00351""]"
CAS-CSE-11-0102,CSE-11,2024-12-28 21:17:11.580042,2024-12-28 21:51:40.447690,Valid investigation for ALT-CSE-11-00353. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00353""]"
CAS-CSE-11-0103,CSE-11,2024-10-18 09:27:00.840187,2024-10-18 10:52:39.600239,Valid investigation for ALT-CSE-11-00357. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00357""]"
CAS-CSE-11-0104,CSE-11,2024-12-14 23:32:16.779281,2024-12-15 00:39:05.761972,Valid investigation for ALT-CSE-11-00363. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00363""]"
CAS-CSE-11-0105,CSE-11,2024-12-20 18:26:43.961340,2024-12-20 19:23:08.117630,Valid investigation for ALT-CSE-11-00369. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00369""]"
CAS-CSE-11-0106,CSE-11,2024-11-22 04:57:16.049035,2024-11-22 05:35:59.821290,Valid investigation for ALT-CSE-11-00374. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00374""]"
CAS-CSE-11-0107,CSE-11,2024-12-26 09:06:27.336930,2024-12-26 09:46:06.409582,Valid investigation for ALT-CSE-11-00375. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00375""]"
CAS-CSE-11-0108,CSE-11,2024-10-04 04:18:13.742170,2024-10-04 04:56:22.544804,Valid investigation for ALT-CSE-11-00380. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00380""]"
CAS-CSE-11-0109,CSE-11,2024-10-30 16:24:43.516138,2024-10-30 16:59:34.832109,Valid investigation for ALT-CSE-11-00388. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00388""]"
CAS-CSE-11-0110,CSE-11,2024-12-17 07:27:58.155820,2024-12-17 08:06:44.719591,Valid investigation for ALT-CSE-11-00390. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00390""]"
CAS-CSE-11-0111,CSE-11,2024-10-01 19:05:55.827028,2024-10-01 19:57:14.730776,Valid investigation for ALT-CSE-11-00394. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00394""]"
CAS-CSE-11-0112,CSE-11,2024-11-02 05:07:22.349902,2024-11-02 05:43:16.863763,Valid investigation for ALT-CSE-11-00395. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00395""]"
CAS-CSE-11-0113,CSE-11,2024-12-24 01:26:14.890639,2024-12-24 02:11:13.897681,Valid investigation for ALT-CSE-11-00399. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00399""]"
CAS-CSE-11-0114,CSE-11,2024-11-07 07:55:37.001856,2024-11-07 08:11:19.511392,Valid investigation for ALT-CSE-11-00401. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00401""]"
CAS-CSE-11-0115,CSE-11,2024-12-13 21:36:30.053665,2024-12-13 22:07:01.001226,Valid investigation for ALT-CSE-11-00402. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00402""]"
CAS-CSE-11-0116,CSE-11,2024-10-12 20:53:41.495313,2024-10-12 21:31:50.248139,Valid investigation for ALT-CSE-11-00403. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00403""]"
CAS-CSE-11-0117,CSE-11,2024-11-30 14:44:00.006611,2024-11-30 15:37:28.136082,Valid investigation for ALT-CSE-11-00408. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00408""]"
CAS-CSE-11-0118,CSE-11,2024-11-08 10:25:36.867957,2024-11-08 10:45:17.902434,Valid investigation for ALT-CSE-11-00411. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00411""]"
CAS-CSE-11-0119,CSE-11,2024-11-04 20:45:27.489838,2024-11-04 21:15:03.511704,Valid investigation for ALT-CSE-11-00415. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00415""]"
CAS-CSE-11-0120,CSE-11,2024-11-13 02:12:08.106924,2024-11-13 02:38:07.682265,Valid investigation for ALT-CSE-11-00420. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00420""]"
CAS-CSE-11-0121,CSE-11,2024-11-10 09:04:55.298632,2024-11-10 09:38:11.374653,Valid investigation for ALT-CSE-11-00429. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00429""]"
CAS-CSE-11-0122,CSE-11,2024-11-02 10:07:32.865796,2024-11-02 11:07:16.599854,Valid investigation for ALT-CSE-11-00430. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00430""]"
CAS-CSE-11-0123,CSE-11,2024-10-16 09:18:12.694637,2024-10-16 09:41:51.561892,Valid investigation for ALT-CSE-11-00440. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00440""]"
CAS-CSE-11-0124,CSE-11,2024-12-23 02:33:57.495612,2024-12-23 03:41:47.155042,Valid investigation for ALT-CSE-11-00445. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00445""]"
CAS-CSE-11-0125,CSE-11,2024-10-23 08:33:28.560491,2024-10-23 09:01:24.446435,Valid investigation for ALT-CSE-11-00463. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00463""]"
CAS-CSE-11-0126,CSE-11,2024-11-08 22:04:52.299553,2024-11-08 22:31:02.711445,Valid investigation for ALT-CSE-11-00465. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00465""]"
